Name,Phone,Email,Website,Zip Code,Address
Denny's 5th Ave Bakery,(952) 881-4445,kevin@dennysbakery.com,http://www.dennysbakery.com,55420,"7840 5th Ave S, Minneapolis, MN 55420"
Butter Bakery Cafe,(612) 521-7401,info@butterbakerycafe.com,N/A,55409,"3700 Nicollet Ave, Minneapolis, MN 55409"
Heights Bakery Inc,(763) 572-0624,debdoty1845@gmail.com,https://www.facebook.com/HeightsBakeryInc,55421,"4925 Central Ave NE, Minneapolis, MN 55421"
Turtle Bread,(612) 545-5757,harvey@turtlebread.com,http://turtlebread.com,55406,"4205 E 34th St, Minneapolis, MN 55406"
Great Harvest Bread Company,(612) 929-2899,N/A,http://www.greatharvest.com,55410,"4314 Upton Ave S, Minneapolis, MN 55410"
Sarah Jane's Bakery,(612) 789-2827,sarahjanesbakery@gmail.com,http://www.sarahjanesbakery.com,55418,"2853 Johnson St NE, Minneapolis, MN 55418"
Rustica,(612) 822-1119,info@rusticabakery.com,http://www.rusticabakery.com,55416,"3224 W Lake St, Minneapolis, MN 55416"
Panaderia Lomabonita,(763) 331-0470,N/A,N/A,55421,"923 45th Ave NE, Minneapolis, MN 55421"
Sunshine Bakery,(612) 315-4458,N/A,N/A,55418,"3654 Stinson Blvd, Minneapolis, MN 55418"
Baker Properties,(952) 893-2224,N/A,N/A,55416,"1660 Highway 100 S, Minneapolis, MN 55416"
Dulceria Bakery,(612) 886-1180,N/A,N/A,55407,"1839 E 42nd St, Minneapolis, MN 55407"
Majestic Chef Bakery,(612) 987-6321,themajesticchef@gmail.com,http://themajesticchef.wordpress.com,55409,"3910 Aldrich Ave S Apt 107, Minneapolis, MN 55409"
Turtle Bread Company,(612) 924-6013,N/A,http://turtlebread.com,55410,"3421 W 44th St, Minneapolis, MN 55410"
Los Hornos Del Rey,(612) 822-2325,N/A,N/A,55408,"3041 Nicollet Ave, Minneapolis, MN 55408"
Keefer Court Food Inc Fortune Cookie Division,(612) 724-6116,sales@e-fortunecookie.com,http://www.kcfortunecookiefactory.com,55406,"2737 Minnehaha Ave, Minneapolis, MN 55406"
Los Hornos Del Rey,(612) 729-9194,N/A,N/A,55407,"1703 E Lake St, Minneapolis, MN 55407"
Donut Cooperative,(612) 353-6089,N/A,N/A,55407,"3040 Chicago Ave, Minneapolis, MN 55407"
Northside Bakery,(612) 208-1035,N/A,N/A,55411,"1500 W Broadway Ave, Minneapolis, MN 55411"
Bc2,(612) 354-2633,N/A,N/A,55413,"1620 Central Ave NE, Minneapolis, MN 55413"
Sunbeam It,(612) 341-2251,N/A,N/A,55402,"800 Nicollet Mall, Minneapolis, MN 55402"
Quaker Bakery Brands Inc,(612) 315-4970,N/A,N/A,55402,"80 S 8th St, Minneapolis, MN 55402"
El Sabor Chuchi,(612) 481-7040,N/A,N/A,55407,"717 E Lake St, Minneapolis, MN 55407"
Hugues Lao French Bakery,(612) 333-5910,N/A,N/A,55401,"250 2nd Ave S Ste 240, Minneapolis, MN 55401"
Original American Scones,(612) 676-0030,N/A,N/A,55414,"727 Kasota Ave SE, Minneapolis, MN 55414"
Lowry Hills Cafes Inc,(612) 870-1110,N/A,https://www.frenchmeadowcafe.com,55408,"2610 Lyndale Ave S, Minneapolis, MN 55408"
Parasole Bakery,(612) 879-8850,N/A,http://www.parasole.com,55403,"1402 1st Ave S, Minneapolis, MN 55403"
Sweet Treats by Carrie,(612) 437-0512,sweettreatsbycarrie@gmail.com,N/A,55427,"2901 Hillsboro Ave N, Minneapolis, MN 55427"
La Ideal Bakery,(612) 822-6172,N/A,N/A,55408,"419 E Lake St, Minneapolis, MN 55408"
Au Bon Pain,(612) 341-4420,catering@aubonpain.com,http://www.aubonpain.com,55402,"225 S 6th St Ste 8, Minneapolis, MN 55402"
Marissa's Bakery,(612) 822-7292,marissasinc@gmail.com,http://www.marissasinc.com,55409,"3733 Nicollet Ave, Minneapolis, MN 55409"
Muddy Paws Cheesecake,(763) 545-7161,N/A,N/A,55416,"2955 Yosemite Ave S, Minneapolis, MN 55416"
3 Tiers Inc,(612) 746-1767,N/A,http://www.3tierscakes.com,55417,"5011 34th Ave S, Minneapolis, MN 55417"
Christina's Cafe & Bakery,(612) 375-0791,N/A,N/A,55401,"121 N 4th St, Minneapolis, MN 55401"
Main Street Bakery-Edina,(952) 943-8008,N/A,http://www.msbakery.com,55439,"6947 Washington Ave S, Minneapolis, MN 55439"
Cake Eater Bakery,(612) 354-7178,sheela@cakeeaterbakery.com,N/A,55406,"2929 E 25th St, Minneapolis, MN 55406"
Solomon's Bakery,(612) 788-1261,N/A,http://solomonsbakeshop.com,55418,"2401 Central Ave NE, Minneapolis, MN 55418"
Pan-O-Gold Baking Co,(763) 559-1515,info@panogold.com,http://www.panogold.com,55447,"3200 Ranchview Ln N, Minneapolis, MN 55447"
Evil Cake Genius,(952) 303-6379,N/A,N/A,55437,"10824 Normandale Blvd, Minneapolis, MN 55437"
The Copper Hen Cakery & Kitchen,(612) 872-2221,info@copperhenkitchen.com,http://copperhenkitchen.com,55404,"2515 Nicollet Ave, Minneapolis, MN 55404"
Bakers Square,(763) 422-9077,N/A,http://www.bakerssquare.com,55448,"12951 Riverdale Dr NW, Minneapolis, MN 55448"
Nelson's Meat,(952) 935-9092,kpage12180@aol.com,http://www.nelsonsmeats.com,55416,"6318 Minnetonka Blvd, Minneapolis, MN 55416"
Honey & Rye Bakehouse,(612) 844-2555,info@honey-and-rye.com,https://www.honey-and-rye.com/contact,55416,"4501 Excelsior Blvd, Minneapolis, MN 55416"
Sun Street Breads,(612) 354-3414,N/A,http://www.sunstreetbreads.com,55419,"4600 Nicollet Ave, Minneapolis, MN 55419"
Glam Doll Donuts,(612) 345-7064,Arwyn@glamdolldonuts.com,http://www.glamdolldonuts.com,55408,"2605 Nicollet Ave, Minneapolis, MN 55408"
Yum,(952) 922-4000,takehome@yumkitchen.com,http://www.yumkitchen.com,55416,"4000 Minnetonka Blvd, Minneapolis, MN 55416"
Patisserie 46,(612) 354-3257,info@patisserie46.com,http://www.patisserie46.com,55419,"4552 Grand Ave S, Minneapolis, MN 55419"
Walmart - Bakery,(763) 424-4842,N/A,http://www.walmart.com,55445,"8000 Lakeland Ave N, Minneapolis, MN 55445"
A Baker's Wife,(612) 729-6898,N/A,http://www.facebook.com/aBakersWife,55406,"4200 28th Ave S, Minneapolis, MN 55406"
French Meadow Bakery & Cafe,(612) 870-7855,manager@frenchmeadowcafe.com,N/A,55408,"2610 Lyndale Ave S, Minneapolis, MN 55408"
Walmart - Bakery,(763) 780-9400,save@photos.walmart.com,http://www.walmart.com,55432,"8450 University Ave NE, Minneapolis, MN 55432"
Natural Ovens Bakery Inc,(952) 881-6196,N/A,N/A,55431,"9100 W Bloomington Fwy, Minneapolis, MN 55431"
Isles Bun & Coffee,(612) 870-4466,jerry@mplslakes.com,http://www.islesbun.com,55408,"1424 W 28th St, Minneapolis, MN 55408"
Ralcorp Frozen Bakery Products,(763) 571-5043,N/A,N/A,55432,"7350 Commerce Ln NE, Minneapolis, MN 55432"
California Bakery,(763) 717-1720,N/A,N/A,55432,"8347 University Ave NE, Minneapolis, MN 55432"
Cocktail Cupcakes and Specialty Services,(763) 205-3563,N/A,N/A,55429,"3260 County Road 10, Minneapolis, MN 55429"
Cup Cake Inc,(612) 378-4818,N/A,http://cup-cake.com,55414,"3338 University Ave SE, Minneapolis, MN 55414"
Cafe Donuts & Cool Cups Yogurt,(612) 338-5044,social@cafedonutsmn.com,http://www.cafedonutsmn.com,55402,"120 S 6th St, Minneapolis, MN 55402"
Old Fashioned Donut Shoppe,(763) 544-1680,N/A,https://old-fashion-donut-shoppe.business.site,55422,"2720 Douglas Dr N, Minneapolis, MN 55422"
Bruegger's Bagels,(612) 617-9617,franchise@brueggers.com,https://locations.brueggers.com/us/mn/minneapolis/228-east-hennepin-avenue?y_source=1_OTczMjE0My01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55414,"228 E Hennepin Ave, Minneapolis, MN 55414"
Almsted's Fresh Market,(763) 537-4551,almstedscrystal@hotmail.com,http://www.almstedsmarkets.com,55422,"4200 Douglas Dr N, Minneapolis, MN 55422"
New French Bakery,(612) 455-7500,peter@newfrenchbakery.com,http://www.newfrenchbakery.com,55406,"2609 26th Ave S, Minneapolis, MN 55406"
Bruegger's,(612) 623-9522,N/A,http://www.brueggers.com,55414,"319 14th Ave SE, Minneapolis, MN 55414"
Trex Cookie Company,(612) 345-5815,N/A,http://www.facebook.com/trexcookie,55414,"3338 University Ave SE, Minneapolis, MN 55414"
Pizza Biga,(612) 823-7333,N/A,N/A,55407,"4762 Chicago Ave, Minneapolis, MN 55407"
Bordertown Coffee,(612) 379-7277,abigailalldaffer@bordertowncoffee.com,http://www.bordertowncoffee.org,55414,"315 16th Ave SE, Minneapolis, MN 55414"
Black Walnut Bakery,(612) 353-6552,N/A,http://www.blackwalnutbakery.com,55408,"3157 Hennepin Ave, Minneapolis, MN 55408"
Patrick's Bakery & Cafe,(612) 861-9277,info@frenchmeadowcafe.com,http://www.patricksbakerycafe.com,55419,"6010 Lyndale Ave S, Minneapolis, MN 55419"
A Cupcake Social,(651) 243-1114,acupcakesocial@gmail.com,http://www.acupcakesocial.com,55406,"3800 28th Ave S, Minneapolis, MN 55406"
Glam Doll Donuts,(612) 223-8071,N/A,http://glamdolldonuts.com,55413,"519 Central Ave NE, Minneapolis, MN 55413"
Carlo's Bakery,(612) 389-0646,N/A,http://www.carlosbakery.com,55425,"60 E Broadway, Minneapolis, MN 55425"
Bakers Square,(763) 424-1464,N/A,http://www.bakerssquare.com,55445,"8000 Brooklyn Blvd, Minneapolis, MN 55445"
Coffee & Bagels,(612) 333-9088,N/A,https://www.einsteinbros.com/?y_source=1_ODg2NTM1MC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55415,"550 S 4th St Ste 230, Minneapolis, MN 55415"
Bruegger's Bagels,(612) 822-5401,facebook@brueggers.com,https://locations.brueggers.com/us/mn/minneapolis/4554-nicollet-avenue-south?y_source=1_OTczMjEyMi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55419,"4554 Nicollet Ave, Minneapolis, MN 55419"
Shega Foods,(612) 341-4373,N/A,https://www.minnesotamonthly.com,55404,"2111 E Franklin Ave Ste 3, Minneapolis, MN 55404"
Bruegger's Bagels,(612) 339-3311,franchise@brueggers.com,https://locations.brueggers.com/us/mn/minneapolis/651-nicollet-mall?y_source=1_OTczMjA3Ni01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55402,"651 Nicollet Mall Ste 139, Minneapolis, MN 55402"
Bruegger's,(612) 338-3577,N/A,http://www.brueggers.com,55403,"50 S 10th St, Minneapolis, MN 55403"
Bruegger's,(612) 238-3500,franchise@brueggers.com,http://www.brueggers.com,55402,"121 S 8th St Ste 260, Minneapolis, MN 55402"
La Mexicana Grocery Store,(612) 724-5419,LaGuadalupanaInc@gmail.com,http://lamexicanasupermercado.com,55407,"1522 E Lake St, Minneapolis, MN 55407"
Bogart's Doughnut Co,(612) 259-7700,hello@bogartsdoughnutco.com,http://www.bogartsdoughnutco.com,55402,"80 S 8th St, Minneapolis, MN 55402"
Lunds & Byerlys,(952) 896-0092,N/A,http://www.lundsandbyerlys.com,55437,"5159 W 98th St, Minneapolis, MN 55437"
Lunds & Byerlys,(952) 548-1400,contact@lundsandbyerlys.com,http://www.lundsandbyerlys.com,55424,"4100 W 50th St Ste 100, Minneapolis, MN 55424"
Bruegger's,(612) 929-6634,facebook@brueggers.com,http://www.brueggers.com,55419,"4953 Penn Ave S, Minneapolis, MN 55419"
Bruegger's,(612) 823-2756,customercare@zipscene.com,http://www.brueggers.com,55408,"1500 W Lake St, Minneapolis, MN 55408"
Trotter's Cafe & Bakery,(651) 645-8950,eatlocal@trotterscafe.com,http://www.trotterscafe.com,55104,"232 Cleveland Ave N, Saint Paul, MN 55104"
Bruegger's,(952) 854-5326,N/A,http://www.brueggers.com,55425,"338 S Avenue, Minneapolis, MN 55425"
Lunds & Byerlys,(952) 926-6833,Contact@LundsandByerlys.com,http://www.lundsandbyerlys.com,55424,"3945 W 50th St, Minneapolis, MN 55424"
Lunds & Byerlys,(612) 825-2440,askfoode@lundsandbyerlys.com,http://www.lundsandbyerlys.com,55408,"1450 W Lake St, Minneapolis, MN 55408"
Great American Cookies,(952) 858-9814,N/A,http://www.greatamericancookies.com,55425,"60 E Broadway, Minneapolis, MN 55425"
Buttercream,(651) 642-9400,weddings@buttercream.info,http://www.buttercream.info,55114,"682 Transfer Rd, Saint Paul, MN 55114"
,,N/A,N/A,,N/A
Bakers Square,(763) 786-5262,N/A,http://www.bakerssquare.com,55434,"221 County Road 10 NE, Minneapolis, MN 55434"
Perkins Restaurant & Bakery,(763) 544-8859,N/A,http://www.perkinsrestaurants.com,55427,"8806 Highway 55, Minneapolis, MN 55427"
Pan-O-Gold Baking Co,(612) 340-9696,N/A,http://panogold.com,55401,N/A
Lone Doughnut,(612) 334-9585,N/A,N/A,55416,"1660 Highway 100 S, Minneapolis, MN 55416"
Nikola's Bakery,(952) 253-5991,dir@nikolasbakery.com,http://www.nikolasbakery.com,55420,"8301 Grand Ave S Ste 110, Minneapolis, MN 55420"
First National Bagel Co,(763) 541-0071,N/A,N/A,55427,"Po Box 27431, Minneapolis, MN 55427"
New French Bakery,(612) 465-8116,info@newfrenchbakery.com,http://www.newfrenchbakery.com,55414,"828 Kasota Ave SE, Minneapolis, MN 55414"
Bagelman's New York Bakery & Deli,(612) 305-4880,N/A,N/A,55402,"825 Hennepin Ave, Minneapolis, MN 55402"
Chez Arnaud,(651) 330-4453,N/A,N/A,55105,"1085 Grand Ave, Saint Paul, MN 55105"
Ks Bakery,(651) 348-7574,N/A,N/A,55113,"1235 Larpenteur Ave W, Saint Paul, MN 55113"
Chez Araunz,(651) 633-9801,N/A,N/A,55112,"833 3rd St SW, Saint Paul, MN 55112"
Walmart - Bakery,(612) 788-1303,N/A,http://www.walmart.com,55113,"1960 Twin Lakes Pkwy, Roseville, MN 55113"
Walmart - Bakery,(952) 854-5600,N/A,http://www.walmart.com,55420,"700 American Blvd E, Bloomington, MN 55420"
St Paul Cakes Inc,(651) 528-8316,N/A,N/A,55105,"1580 Grand Ave, Saint Paul, MN 55105"
Cinnabon,(786) 810-9400,N/A,https://locations.cinnabon.com/mn/st.-paul/minneapolis-saint-paul-international-airport?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner,55111,"Minneapolis-Saint Paul International Airport Terminal 1, St. Paul, MN 55111"
Cocoa & Fig,(952) 540-4300,laurie@cocoaandfig.com,http://www.cocoaandfig.com,55435,"6807 York Ave S, Bloomington, MN 55435"
Sugar Incentives,(952) 938-0743,N/A,http://www.batoryfoods.com,55343,"175 Jackson Ave N Ste 100, Hopkins, MN 55343"
Hopkins Thrift Bakery,(952) 931-9679,sales@hopkinsfirestone.com,http://www.mda.state.mn.us,55343,"1812 Mainstreet, Hopkins, MN 55343"
Silhouette Bakery & Bistro,(651) 348-7661,N/A,http://www.silhouettebakery.com,55103,"383 University Ave W, Saint Paul, MN 55103"
The Cake Diva,(612) 998-9592,jjuliff@thecakediva.biz,http://www.thecakediva.biz,55117,"955 Mackubin St, Saint Paul, MN 55117"
Amy's Cupcake Shoppe,(952) 479-7516,amy@amyscupcakeshoppe.com,http://www.amyscupcakeshoppe.com,55343,"701 Mainstreet, Hopkins, MN 55343"
Al Hues Bakery & Deli,(651) 602-0231,N/A,https://aihuesbakerydeli.netwaiter.com/saint-paul/about,55103,"432 University Ave W # B, Saint Paul, MN 55103"
La Patisserie,(651) 690-8973,blazeone1@live.com,N/A,55105,"1570 Randolph Ave, Saint Paul, MN 55105"
Walmart - Bakery,(651) 453-0343,N/A,http://www.walmart.com,55118,"1644 Robert St S, Saint Paul, MN 55118"
It Takes the Cake,(952) 544-0303,jeanine@ittakesthecakeonline.com,N/A,55305,"10902 Greenbrier Rd, Hopkins, MN 55305"
Osseo,(800) 275-8777,N/A,N/A,55369,"125 1st Ave NW, Osseo, MN 55369"
Multifoods Corporation North America Bakery Division,(952) 404-7571,N/A,N/A,55305,"111 Cheshire Ln Ste 100, Hopkins, MN 55305"
French Meadow Bakery,(651) 454-5095,customercare@rich.com,http://frenchmeadow.com,55121,"1000 Apollo Rd Ste 200, Saint Paul, MN 55121"
Luna's Specialty Bakery & Cafe,(763) 496-1284,lunasspecialtybakeryandcafe@gmail.com,http://www.lunasofosseo.com,55369,"319 Central Ave, Osseo, MN 55369"
Tio Santiago Bakery,(651) 776-5556,N/A,N/A,55106,"1532 White Bear Ave N, Saint Paul, MN 55106"
Exquisite Cake Bakery,(651) 738-9177,panaderialindoamanecer@gmail.com,http://exquisitecakebakery.com,55106,"1622 White Bear Ave N, Saint Paul, MN 55106"
Baldinger Bakery,(651) 224-5761,N/A,http://www.baldingerbakery.com,55106,"1256 Phalen Blvd, Saint Paul, MN 55106"
Taste of Love Bakery,(651) 321-4455,order@tasteoflovebakery.com,N/A,55118,"870 Dodd Rd, West Saint Paul, MN 55118"
Buttercream Collection,(952) 249-0390,buttercream.stillwater@gmail.com,http://www.buttercream.info,55391,"18172 Minnetonka Blvd, Wayzata, MN 55391"
Panaderia Los Castillos,(651) 457-1200,N/A,N/A,55118,"1201 Robert St S, Saint Paul, MN 55118"
Nothing Bundt Cakes,(952) 546-1406,minnetonka@nothingbundtcakes.com,http://nothingbundtcakes.com/bakery/MN/minnetonka,55305,"12987 Ridgedale Dr, Minnetonka, MN 55305"
San Miguel,(651) 774-3110,N/A,N/A,55130,"886 Payne Ave, Saint Paul, MN 55130"
Lunds Markets Bakery & Deli,(952) 476-2226,N/A,http://lundsandbyerlys.com,55391,"1151 Wayzata Blvd E, Wayzata, MN 55391"
Breadsmith,(952) 920-2778,d.wright@breadsmith.com,http://www.breadsmithmn.com,55424,"3939 W 50th St, Edina, MN 55424"
Don Panchos Bakery,(651) 774-2204,N/A,https://www.facebook.com/pages/category/Dessert-Shop/Morelos-Bakery-516869088375620,55106,"1248 Arcade St, Saint Paul, MN 55106"
Maplewood Bakery,(651) 777-9331,maplewoodbakery@hotmail.com,http://www.facebook.com/MaplewoodBakery,55109,"1351 Frost Ave Ste 3, Saint Paul, MN 55109"
Cinnabon,(651) 773-5505,investor@christopherandbanks.com,https://locations.cinnabon.com/mn/maplewood/3001-white-bear-ave?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner,55109,"3001 White Bear Ave N Ste 2023, Maplewood, MN 55109"
,,N/A,N/A,,N/A
St Paul Classic Cookie Co,(651) 202-3713,N/A,http://saintpaulclassiccookie.blogspot.com,55114,"2386 Territorial Rd, Saint Paul, MN 55114"
Keys Cafe & Bakery,(651) 487-5397,jean@keyscafe.com,http://www.keyscafe.com,55113,"1682 Lexington Ave N, Saint Paul, MN 55113"
Mojo Monkey Donuts,(651) 224-0142,lisa@mojomonkey.biz,http://www.mojomonkey.biz,55102,"1169 7th St W, Saint Paul, MN 55102"
Highland Cafe & Bakery,(651) 698-3400,N/A,http://www.highlandcafeandbakery.com,55116,"2012 Ford Pkwy, Saint Paul, MN 55116"
Cafe Latte,(651) 224-5687,latte@cafelatte.com,https://www.cafelatte.com,55105,"850 Grand Ave, Saint Paul, MN 55105"
Bruegger's,(651) 646-8632,N/A,http://www.brueggers.com,55108,"2233 Energy Park Dr, Saint Paul, MN 55108"
Bruegger's Bagels,(952) 545-0398,franchise@brueggers.com,https://locations.brueggers.com/us/mn/st-louis-park/1650-park-place-blvd?y_source=1_OTczMjE1MS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55416,"1650 Park Place Blvd Ste 100, St Louis Park, MN 55416"
The Finnish Bistro,(651) 645-9181,info@finnishbistro.com,http://www.finnishbistro.com,55108,"2264 Como Ave, Saint Paul, MN 55108"
Dunkin',(612) 254-8420,N/A,https://locations.dunkindonuts.com/en/mn/richfield/6529-penn-ave-s/356550?utm_source=yext&utm_medium=local&utm_campaign=localmaps&utm_content=356550,55423,"6529 Penn Ave S, Richfield, MN 55423"
Baklava Etc,(612) 840-6910,N/A,N/A,,N/A
Browers Brownies,(612) 378-7782,N/A,N/A,,N/A
Jerry's Foods Edina,(952) 929-2685,jconnolly@jerrysfoods.com,http://www.jerrysfoods.com,55436,"5125 Vernon Ave S, Edina, MN 55436"
Keys Cafe & Bakery,(651) 646-5756,jean@keyscafe.com,http://www.keyscafe.com,55114,"767 Raymond Ave, Saint Paul, MN 55114"
Bruegger's,(651) 225-4363,fonofrio@mason23.com,http://www.brueggers.com,55102,"1 7th Pl W, Saint Paul, MN 55102"
Bruegger's Bagels,(651) 699-8011,N/A,https://locations.brueggers.com/us/mn/saint-paul/2136-ford-parkway?y_source=1_OTczMjA0OS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55116,"2136 Ford Pkwy, Saint Paul, MN 55116"
The Tea Garden,(651) 690-3495,N/A,http://www.steepery.com,55105,"1692 Grand Ave, Saint Paul, MN 55105"
Bakers Square,(651) 631-3322,mail@anokaareachamber.com,http://www.bakerssquare.com,55113,"1881 Highway 36 W, Saint Paul, MN 55113"
Lunds & Byerlys,(952) 935-0198,catering@lundsandbyerlys.com,http://www.lundsandbyerlys.com,55305,"11400 Highway 7, Hopkins, MN 55305"
Keys Cafe & Bakery,(651) 222-4083,N/A,http://www.keyscafe.com,55101,"504 Robert St N, Saint Paul, MN 55101"
Lunds & Byerlys,(651) 633-6949,contact@lundsandbyerlys.com,http://www.lundsandbyerlys.com,55113,"1601 County Road C W, Saint Paul, MN 55113"
Lunds & Byerlys,(651) 999-1600,N/A,http://www.lundsandbyerlys.com,55101,"115 10th St E, Saint Paul, MN 55101"
Bouquets By Carolyn,(651) 487-8122,N/A,N/A,55104,"920 Selby Ave, Saint Paul, MN 55104"
Perkins Restaurant & Bakery,(651) 482-9234,N/A,http://www.perkinsrestaurants.com,55126,"3855 Lexington Ave N, Saint Paul, MN 55126"
Bruegger's Bagels,(952) 926-2696,franchise@brueggers.com,https://locations.brueggers.com/us/mn/edina/7101-france-avenue?y_source=1_OTczMjEzNy01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55435,"7101 France Ave S, Edina, MN 55435"
Bruegger's Bagels,(952) 703-0443,franchise@brueggers.com,https://locations.brueggers.com/us/mn/bloomington/7801-southtown-center?y_source=1_OTczMjEyNC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55431,"7801 Southtown Ctr, Bloomington, MN 55431"
PJ Murphy's Bakery,(651) 699-9292,info@pjmurphybakery.com,http://www.pjmurphybakery.com,55105,"1279 Randolph Ave, Saint Paul, MN 55105"
Bruegger's Bagels and Caribou Coffee,(651) 578-0580,N/A,https://locations.brueggers.com/us/mn/saint-paul/2133-hudson-road?y_source=1_OTczMjEzMy01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55119,"2133 Hudson Rd Ste 3, Saint Paul, MN 55119"
Dunkin',(952) 851-9653,N/A,https://locations.dunkindonuts.com/en/mn/bloomington/1700-american-blvd-e/356876?utm_source=yext&utm_medium=local&utm_campaign=localmaps&utm_content=356876,55425,"1700 American Blvd E Great Wolf Lodge, Bloomington, MN 55425"
Bruegger's Bagels,(651) 688-0400,franchise@brueggers.com,https://locations.brueggers.com/us/mn/eagan/3450-pilot-knob-road?y_source=1_OTczMjI0MC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55122,"3450 Pilot Knob Rd, Eagan, MN 55122"
Dunkin',(763) 273-8679,N/A,https://locations.dunkindonuts.com/en/mn/maple-grove/9595-zachary-lane-n/356656?utm_source=yext&utm_medium=local&utm_campaign=localmaps&utm_content=356656,55369,"9595 Zachary Ln N, Maple Grove, MN 55369"
Perkins Restaurant & Bakery,(651) 770-6540,N/A,https://stores.perkinsrestaurants.com/us/mn/maplewood/1829-n-saint-paul-rd.html,55109,"1829 N Saint Paul Rd, Maplewood, MN 55109"
Lunds & Byerlys,(651) 653-0000,N/A,http://www.lundsandbyerlys.com,55127,"4630 Centerville Rd, White Bear Lake, MN 55127"
Perkins Restaurant & Bakery,(651) 777-2423,N/A,https://stores.perkinsrestaurants.com/us/mn/maplewood/2009-county-road-d-e.html,55109,"2009 County Road D E, Maplewood, MN 55109"
Perkins Restaurant & Bakery,(763) 493-4444,N/A,https://stores.perkinsrestaurants.com/us/mn/brooklyn-park/8585-aspen-lane-n.html,55445,"8585 Aspen Ln N, Brooklyn Park, MN 55445"
Perkins Restaurant & Bakery,(612) 404-2196,N/A,https://stores.perkinsrestaurants.com/us/mn/bloomington/8324-lyndale-ave-south.html,55420,"8324 Lyndale Ave S, Bloomington, MN 55420"
Bruegger's Bagels and Caribou Coffee,(763) 559-6968,N/A,https://locations.brueggers.com/us/mn/maple-grove/13384-bass-lake-rd?y_source=1_OTczMjE3OC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,55311,"13384 Bass Lake Rd Ste 104, Maple Grove, MN 55311"
